Npts=20, Emin=0(0.000735), Emax=1197(0.4406325), step=63

k                                                                                                                                                                                                                                   E (rydbergs)
0.007751476526521464514735939877778290327709604733137401204964249657514614824116523994188917655054461254+0.00000000000000002074474200368394317301410533313772411725455839949639581950984039667041372477695586801533977012313931j    0.00006008538834121326856650716334198989795244764660064317458984417973126970541259246366269716572985262697+0.0000000000000000003216047613805998757020202213755224470211472425010000762250360533938283560841699677458084175769285659j
0.01942320103422299970629726920500807231775318024550997669581670870135056244163264481408591111383915618-0.005254055019187041205565480203980454793151397456170620108852134959129586155658905657809860517336054333j                   0.0003496556442711968654771621315268702719772368896460469720869211317583030233590894222006871971757254346-0.0002041011337650765626189768899182661839809064036834306519832251835533575814343588850670551880582403769j
0.0194232010342230098250720504830243234073333948411502568447932506890953711110782083354588937774944978+0.005254055019187027814352205840447184528450781120906842916463961842747439110398871611629908449213855934j                    0.0003496556442711973992714983594520484929359530886132408193923515745746404731684616527862704210341320004+0.0002041011337650761487477207048749444152199567666344460102277536686289699944906894053588514099000966415j
0.02074526918467371130805190759726922347285878232464332608757896685202835813403891023065480813386472029-0.3826255982943101497125689981786037294046303144852893590838406210165676327152388036452163474655172838j                     -0.1459719822765342254783688092861064166772987587084145133685612377365201217633395113730180693525050127-0.01587534206712458900738317506154005498118052384133722234479294163649019214102516304233158927865302815j
0.09948889423221702694704193335578609985867441050036199967139093697168164006416521117417679187135598976+0.3841410514862423439129198361983305199805754039573234510065848073900533680433245642211403436148634195j                     -0.1376663073614066248874730290793783362931007209432728163110236859794200343213598058205543990063365438+0.07643553688313479983261957582723206841467719985776587021323868672004518919251104398322422929553688668j
0.1047807612044619690226158986243958773536292263497217314058916302132188034815501807114950068427978516+0.3035266076649021755281272112779981985307602626469104654040725656390717028965023736249851745259259574j                      -0.0811493936419769696307357371154710923779174134874048753739285253569976201164592166273773726146953373+0.06360749799387306159262732818427429314776055374646152569069378942390404748868033485617497000393450918j
0.1482621435749110726258310791215235600504096084585498742594793833615412897017083335941941147783376302-0.3765064509065342773574884933345997849795442745362764827221964431852634454273738621726588788196376581j                      -0.1197754443568069613097796957856786307912883389213766931902880049063645158367094956969736321706819777-0.1116433069623695844103961055740385926885903406243817772624195367928526908000852650534411192642131809j
0.152046358615148508721968024689111430621201817743154232715515711991515351598853695099792593666630756-0.2906940186614560097140326685656000994791314742250892178234897516743771378637337205016686504983772608j                       -0.06138491731742058968654179432827553748954993814745413417959081435813094641542373913753439912186919319-0.08839793401735682665644379334718474662122859861955604858182799178294782626514130709653174496656942144j
0.201962256490980222850833715695808782581761029524237644446769121447077563747969685412799073959223037+0.377239531881262160149496869806970888625554829820227939390378438073582035528516402081240671358591262j                        -0.1015209113670653265845733363790263450241281912499521916174047315206116034462352921351761691399866635+0.1523762941926815588448639414788709070964185691332655338882434127274667939836239723518248392564409047j
0.2518458039335396741806847046495639763146819318463307530673816852223843099480283719284432097782128384-0.3354792442908125929856546089886853819552743861046274291610895278801372100010713160706363736247046493j                      -0.04912001439100380614130405004236605825640503963730921205263143480580678588641607081834786496368492712-0.1689780799628720948252237398061471469209057462854243600833162306377932371376679280988758800420491748j
0.2754341899093108046511725212274529510128688254640281714169280067303292202209150894219995070715318459+0.3903132567299746670992067253754502484205011383449740565346911296943334368358013145715537569190641056j                      -0.07648044540816082487596551658127688924419799848241105130476026024893167488325491802685943925420477388+0.2150112313565708519323358596802011944014191021877372078886643788857133713537258981595310536405547845j
0.2768441234495504065728748858285351922526852158729955928917939124829230949693374969650991850570924281-0.001179337678550950336679545743114784675226032525892073324689550612644504581337196154533735541337927197j                    0.076641277851189855361351725268001971844590828095200678655500797693829756062809171668756814614559331-0.0006529854117389309793077874535685754869093342421293703071160772982966215868754125706632473407457138694j
0.2869770887811758459682766179840574177439310833683757073667008054582879587135296147993964997030006529+0.3151072802931369360945457867599849178655899042228748713509493603225085233607399884227437844831729697j                      -0.01693674860841868169244072396633644834295862632359277342316921919469069958554262296790242434570243853+0.1808571399045568411188178959716205777467132392775549819662440938601156610472991556717149586585984914j
0.3495596913592331510882466001302961679240692864371934050148444271414465244082000158983849593460459412-0.3187497725930744996551689062279818460910458816166393859539847967725732414246005449933408653498920579j                      0.02059056029502563227184035028293865586787475682214514974404999829144771442880369766812186633062966184-0.2228441442569217521134252528527598626630259210995361240368046273988180800748152349188951347553617183j
0.3599326967983969996305544135378613737202193490976323466547602876355221807278897559421255278042161129-0.2498881981437569445834800709906095603219509748995403828125620960264161837334565941527094733760872541j                      0.06710743465303325406354122696434543295970563846338925493419333492006582378906800662796747979684033406-0.1798858661119492405474312007707016854436907103681789629638106387028886527793960840262152906379194817j
0.3677651808716710296049769786223652892442342136248956367701198702781701214840029068313222986941812442+0.370251205078117400026032780240696661277768726450407913307819642381382111926419815126314323104672952j                       -0.001834726600225241021583905963642186400719149827927393751961239233260456658261758595479398388690559567+0.2723310028070160176492640499081321764775836399445427895035375746207265129766772143237276787860244998j
0.4199460251782727313773728877511319094624031069425326198355833875673315821458188139314025027658894825+0.3717886804706121547248456572304755081816486852919940895423643429995652922134014387433995046938381336j                      0.03812784113695153103173414467480306243337444414618363790376520264693562032271850250564755332513069752+0.3122623571398169745121385290788425127058179441164669073657255580728970983375626156277758242697909024j
0.439064488846547181527839858517725710978248639713713475271085973520091103142807095130799328292956301+0.3105524605865410076162157804349726334389544166204099878806947293133678482147916535856617044903039032j                       0.0963347945897246484111508143796378653588029420797219091613277055897524339518928204901874127814382155+0.2727051147349342348521794910618801420687179492431568249621879671076580547864757888958932745102662332j
0.4548614680991373859460323709722035086026289479653844703392221633168294338382191120039257765674565815-0.000000000000003972208936408900721378626430825304830773055832888743811170699375237366068727843091136857538898329372j        0.2068989551613025778200179273483082830630437075553676903596771575851063770275710030360826071981200353-0.000000000000003613609576822931281559177896997552659073619579275149989917886952437871581433944913597043513847094255j
0.4620011864756506668202371699788189849303020731907489793888842052680157143429370938645219331812099678-0.2522151848479959993263109950819609780402219373665383166994705968468871376573955887822152041423219364j                      0.1498325968370001498897283773044635969244101883873903795898907658064137430952152608410089988141645475-0.2330474292938994045342991120460129204436462804558500475224956800187421944627516597853004367611222035j
0.4983803700935660873234570912874913734271163294806352857071989303608192180080989752597920295664781267+0.3400293361303553302160686995471245905284067782870394683462907420266713211284526009182608099524551463j                      0.1327630438653497336763346573764633881495476903184697062905826725664110316656402967690649010825369781+0.3389278927666321445229329372215332627222188230950188536338940079275197120467512586401996797332107555j
0.5098990849213792096726308573675795254967462318462300029764007446186090778237937174395943959184642288-0.4860889664047837502220565622885285794632089531563758701691015355777951100164651682133995103435263724j                      0.02371459354318890154444310214416558102372023060087752359050363513846038106290306799095817426782670635-0.4957126383203565503058742030650639410451704521345882919254325237420086052578773057920251331199217886j
0.5137520756341806158608662587507503632017362793750221147292060661244735613391088895204831712272322338-0.4408845510103236261025224876730517469019166149773537086340908985487479448308177750129156398710078109j                      0.06956200789885418453086936584885983424508447463895340192839426617665624331147342071527426026536037046-0.4530107063931950908299272665923633540199298090426388452076538497390057326709019406774767415654735141j
0.5366548815066588586861937338310553012984458469066434931178124426051501116103669506766608556483736266+0.3512889757887678482067568214094732628838314716491043051570586060631796940864450333367699238561198579j                      0.1645945173342045368472043261301965393911090395908004212672674607334233380297212768559856773090801135+0.3770418873530335245164044130783473600659334010023527337232309859516055451194556162865990037844467703j
0.5602899912237656341743716964216965843237378048187758751544452243009627618248467182810751429103622256+0.2949973907521458965392037747467538022488793851456179449269290185679345492038528936745181499669888775j                      0.2269014137149531180431333373373497711745835829487424580680805653213947831982198116646882673683573546+0.3305681709511071716481525459300876826724347602144287719139266518370910100151685580125734791201125331j
0.5790523087495805748757268939717620905159094537753112532227347346899904076383219751628775279667087481-0.4880226084452115000649654316523641186176576436997582524467832805512133370785511602867745162320324269j                      0.09713550991455136944457750193530377552912848872071701222081398412272692989442397267820874791107310824-0.565181236284384556102947579980676039943169246780161746371595498801801554649730056428022367806144583j
