Npts=36, Emin=0(0.000735), Emax=1190(0.43806), step=34

k                                                                                                                                                                                                                                 E (rydbergs)
-0.2372786512427440707323152866342063058627013443392085045603485536006820553454452571809496891184901999+0.4739820135007080853580646999733679599215531093965277571924192348149174933656638743596630259683499414j                   -0.1683577907866096493553418607839940972948980122996426388086247397320753591226094134881586673735291102-0.2249316257535362508992310931567076052216501818542958365182408728603894792210191697544759828653522367j
-0.2257955471734806220647437961795126648373305224333601400740091653822237642582927472777273831686283215+0.381320262845349426347022586600106462758408361831097107932909909042253653485408299718507071945076047j                    -0.09442151373307486125089464793139111934849095043217747591729698158110315289896655521819265128353071233-0.1722008347950022530649300128590561490723478506519061875668572304956418279912267487418680957097845025j
-0.2009359177498025541472387298978460454850487835607553791355208445112016137916241260089985665020668971-0.00000000000002395148888978552599900421563331717202643623856721212627039663236885062903025211261438150865456314456j      0.04037524304195541713523900405192707038312597702198292834514509641282866962429292117330597247987351854+0.000000000000009625428803086508290255303729454951130939017716828716158684922766997416102189867222940455864261178379j
-0.1667129910637514514503499877973729483818010819099773288730060605583192539358654064727218454782100043-0.2852900827585190237383767007820406872664769681349715991453627809898452899680037323995152318308142128j                   -0.05359720993094016222929146391196235660961088147311298277080313312519243982637312660945089586602013158+0.09512312603499578807614167387104312406083380974140758807242639990597562646607769254953712005044533535j
-0.1604460431875118279710494523178001222114223769011188835616829318495318246489924415770597530284898055-0.3795531241730472326963403092552958089017553956317002818969321487967754711115044222893745013769858867j                   -0.1183176412949917009063832682413477662903967379578440513990775741596301647889360303399711814236729994+0.1217955939060475517280776546306817893255913571581056890104051187383483577650533763882267944407877014j
-0.0974964400891617126781234530745215278136948230723936148566292813369126869596521632136591897049676245+0.3914539023754693847056883111243987237791523451625554800926139108293442027745790179650456880465903781j                   -0.1437306018549240164413492647038978952628955277626228967430420326514123391956441077518763256539844126-0.0763307238812370174162536944530740063866208021192084616733812305101949299924037275702817161688057026j
-0.07974387658267847900977706856663442234456625731655979487613412690585424598098857629732038232767093254+0.4811021124178009097044422163619829666328056967335018271578614743768635033462072997393175768367069973j                  -0.2251001567204368871876517517092917995657783039788477551113213164977551955373488965171096845042114713-0.07672989495262204609630650336559474488344226025941208291130478423788191933676869260705831817852338029j
-0.07095517462922525328920641138412414741760319210004194435664718752414902997714751457981321783437034074-0.352491922228327471157968742858547599927579267333524610654391965584470061672890579940064635258211932j                   -0.1192159184295574112992935237974413001230851332819572711673190749480195564966376343022580630316561097+0.05002225179420452498302450862371791419051173253794032129053384126503815050264551502053513174879778116j
-0.05878426960235812600459628254354252575888366625666632700618812155126835153268798932285275614174854613+0.3611964023385156907723912977183429183184214745229254918587121075656222364262897828567810415742699751j                  -0.127007250709604177580042070060413481415106330525852672235367044432202178565643617778443217889126939-0.04246533338893824691863111530489230675063542659192534131053221038345167585906140582409307509840909762j
-0.02850741923627438153059193636307309690417921240573479182120508507485970571134302848528742238682986992-0.00000000000000001865331222056582076891633423619481986673922344514184885929956085116384354250942428453885314968930075j  0.0008126729515127066423424746635102977931740587991805631648846599925059732079357320517302722761253968109+0.000000000000000001063515583233580156299243877285790601332858082024622515435993462498124300681677974108371546676337986j
-0.02516735236146375971733079138942732445759600683227390637541683098948552000336436639335258174109311786+0.00000000000000000736881226226838733640949233562155231992482836299500813687015035642959339431165258259480991867555878j  0.0006333956248860754827550186436607689253888303854287296507086424184826274384345114174942599394543411939-0.0000000000000000003709069893799668150769223898631219899678564509405377687355718965247597525638816744074113987716977186j
-0.00005299873721369878742564800223311579595653872588699812023434798052463072109698279896313031439461611785-5.735967688040395803660171361151722642384134458721282546261530795880650543925787963685368342028455109e-34j            0.000000002808866146246700709648822797048926234449014185146420690166589033382959425118780038724203554797845825+6.079980883294406444420384737495587756131683151444747153419375927368591826154057326999749537588520402e-38j
-0.000000000000004010181328068505371952654344135281992181115442639436369007309970097708026778302301309360542133650532+955291006908450541074290357298229566417878660874562666673991085.836434602368021295020750177142894241j       -9.12580907880161299393488697897221240607397197762120833405002920288121955586639179385792650021521433e+125-7661780317552059861957810693367913645971605330585.232960643465611924949635214840835358753987014971776j
-1.102851320506993099148000419276146623885505572759721257147932461732348715229680632341888253916886022e-79-0.003652628821726758986449271679676637127928477424661849970892981870025698957203946996472541128568308051j              -0.00001334169730930901168117889500767670212458290559206143067159987581750746349167364502255440808117530854+8.056613038726516867784000103623418871604735998614209465715353004950363386625053816952002843693160856e-82j
-6.334763982422177358579429643201897091906746131012413222890117788309399450192278892464404220268089196e-80+0.006858405273267457491852741891963511227900259979462645950177866287314519469478880765494347568865931462j              -0.00004703772289238286827392393257264924295356917180987353950206068168857249538725638641801082731584555778-8.689275740389804118888018867372811139914547766197496663137972466533103630831298212800177682223704762e-82j
-5.862191072453272741735481702503025848263768158411395384859846837503871021863154852424250228583827601e-80-0.4030047894714546174777434452997091553586074010136597126079474632670469827159571458138442809984628366j                -0.1624128603369314585016568750793700551176360495875043308392019155971573584621972917469487584945892261+4.724982157990943886574919216282115202484402916192159455561743186288417178608024765072926227441129085e-80j
-3.915911501326768414562768051201469026896454816153830409526108132832648740162858085856640518492765199e-82-0.3055290879493440360375886210974149040093992875353793108206702467933917405485172493530859207653512495j                -0.09334802358315800306017319693110258988637094019194627001879122194932171227546969168591058101418677042+2.392849738981428143594734844138149040013460207051119338675685935059614049141800877552552470813333083e-82j
4.007500162112504363801185267525974810420933817649944949233709646167321524622947602883306994229186638e-80-0.55266270989473389191953694671736656378647994984177506019378945099032371713353467512159070809108497j                   -0.3054360709081907948852777353462985473314409354657298846695906790020668263650807510223207552994177895-4.429591798993364082775561719156785606376419106041547299792071333703862260628426655045766409667014839e-80j
6.334763982422177363833384929810769676675981477485904960094444864511437022427890101372680919469218026e-80-0.006858405273267457491907072017773895727452690065666794714504050801838578378072073320332960895474971358j               -0.00004703772289238286827466916861535969385171040756735636148074925780793580976695410818566392632313932974-8.689275740389804126163603500839574533085851651091256254575224326256295451384082129647750888753954451e-82j
1.102851320506993099176155389159732836482066708199449867637095335945839570223463158983254406965055798e-79+0.003652628821726758986449389485304092288525185820373904493608787391107860834485614280149194841158489381j               -0.00001334169730930901168117975560813711077414116155977634904282484963915062257290601249868466871052916572+8.056613038726516867989939256750294813783922115881164382827557236413444420342407423005425665205295036e-82j
0.000000000000004010181328068505371952654344135281992181115442639436369007309970097708026778302301309360542133650532-955291006908450541074290357298229566417878660874562666673991085.836434602368021295020750177142894241j        -9.12580907880161299393488697897221240607397197762120833405002920288121955586639179385792650021521433e+125-7661780317552059861957810693367913645971605330585.232960643465611924949635214840835358753987014971776j
0.00005299873721369878742564800223311579595653872588699812023434798052463072109698279896313031439461611785-5.735967688040395803660171361151722642384134458721306688055904384130006824690401691309459659844384381e-34j             0.000000002808866146246700709648822797048926234449014185146420690166589033382959425118780038724203554797845825-6.079980883294406444420384737495587756131683151444772743111693386479748607830302389013522208394870554e-38j
0.02516735236146375971733079138942732445759600683227390637541683098948552000336436639335258174083222489+0.000000000000000007368812262268387336409492335621552319924828362995008136870150407334555605078030901754742278722634913j  0.0006333956248860754827550186436607689253888303854287296507086424184826274384345114174942599394404590052+0.0000000000000000003709069893799668150769223898631219899678564509405377687355718990870459943745909981988685354860217478j
0.02850741923627438153059193636307309690417921240573479182120508507485970571134302848528742238682103539-0.00000000000000001865331222056582076891633423619481986673922344514184885929956086051103154331231566064186257037999623j   0.0008126729515127066423424746635102977931740587991805631648846599925059732079357320517302722761245443995-0.000000000000000001063515583233580156299243877285790601332858082024622515435993463031052714720000823728228187698492106j
0.05878426960235812600459628254354252575888366625666632700618812155126835153268780798851092495862752799+0.3611964023385156907723912977183429183184214745229254918587121075656222364262898318996255293065429138j                   -0.1270072507096041775800420700604134814151063305258526722353670444322021785656436745258548734624029467+0.04246533338893824691863111530489230675063542659192534131053221038345167585906128059536488027325376033j
0.07095517462922525328920641138412414741760319210004194435664718752414902997714758877258771214113552404-0.3524919222283274711579687428585475999275792673335246106543919655844700616728905011377689187654003366j                   -0.1192159184295574112992935237974413001230851332819572711673190749480195564966375682191901358678300752-0.05002225179420452498302450862371791419051173253794032129053384126503815050264555614238121815564117527j
0.0797438765826784790097770685666344223445662573165597948761341269058542459809885863245703666365557802+0.4811021124178009097044422163619829666328056967335018271578614743768635033462073483399144761464047634j                    -0.2251001567204368871876517517092917995657783039788477551113213164977551955373489416815857801272676824+0.07672989495262204609630650336559474488344226025941208291130478423788191933676871000652061852937224103j
0.09749644008916171267812345307452152781369482307239361485662928133691268695965212471540958264626497472+0.3914539023754693847056883111243987237791523451625554800926139108293442027745788847659892498132609964j                   -0.1437306018549240164413492647038978952628955277626228967430420326514123391956440109761800274047158372+0.07633072388123701741625369445307400638662080211920846167338123051019492999240367145683397762661472114j
0.1604460431875118279710494523178001222114223769011188835616829318495318246489925060721729401336966801-0.3795531241730472326963403092552958089017553956317002818969321487967754711115043447334505024244723731j                    -0.1183176412949917009063832682413477662903967379578440513990775741596301647889359507708132459605072081-0.1217955939060475517280776546306817893255913571581056890104051187383483577650534004597879397943049578j
0.1667129910637514514503499877973729483818010819099773288730060605583192539358654065385213839011622051-0.2852900827585190237383767007820406872664769681349715991453627809898452899680037328429583848063514438j                    -0.05359720993094016222929146391196235660961088147311298277080313312519243982637312684053148776599018674-0.09512312603499578807614167387104312406083380974140758807242639990597562646607769273493650037334311928j
0.2009359177498025541472387298978460454850487835607553791355208445112016137916241260089985665059618366-0.00000000000002395148888978552599900421563331717202643623856721212627039663236884918475553723591741299909959467328j       0.04037524304195541713523900405192707038312597702198292834514509641282866962429292117330597248150797009-0.000000000000009625428803086508290255303729454951130939017716828716158684922766996835688859234055905649044632625131j
