Npts=10, Emin=0(0.000735), Emax=1197(0.4406325), step=133

k                                                                                                                                                                                                                              E (rydbergs)
0.3484107811391130283522897760472617821721227768720864720039964445681947095731353998335358078307321098-0.606720109348212296028768513018674881236194757720733487196757981213701710191449414633005275356131086j                  -0.246719218673539766794335919135315281941733898389479617440145246069463000875287638100102566426826388-0.4227756544616374375736972928441828706591048298377548034295576150031914797905876084749322136067946543j
0.3768472165210176529536871474693237246067639422174105369739511823659721553149434094252610330619745133+0.3284517313786400260268648693104736506583004946381000852896048325040226767552473022078587703183497765j                 0.03413328475401245518417584464110836397888154059853237231712577685945313439053581387395361582229065924+0.2475522414630989717317310226028952622141942203334062488043658654377471972358799063670494958987908711j
0.4419591178535918491964454196649562429590932323432319759549918222369648717398117406709498879432203006+0.3550922117820601999871609456557077042680744054825352642229339886585580406730853844766743894209510307j                 0.06923738298564959691843093942681385286093135423468743920685893607010650688734877218952220391975595107+0.3138724813517602802349473051570327731431887791921167728840713924736439144318807693442731736115545156j
0.4656014496067282967638606918037339461535264155730529673345682350528903454919279272653040400613169241-0.2621610021185741780910438804247149734479229750666195451544003487989963798982047104632751204321991276j                 0.1480563188440716949198214664237077897196517449491075666300929970448705626902118383528161252990590191-0.2441250852335214108529669402267276917047419955576446403665163698699066166739851899607547099316684987j
0.5481103366036311666755092092426880668238119776328864371284632297569439530130244964148742216427412776-0.000003531632276562310825216058811124471417753666169022902783461366345378340538524700921657153554292738329j            0.3004249410792734330006846063849738539881784057298733732911646754988573535857338821168154135274941808-0.000003871448311733632845431607098234694366752638472913892586110969478725571608059599612468801878152546779j
0.5661225251137503655223177447392021967365578040873154927950350205552335211726426609691448723616722084+0.2618659067628171220472121264074834057274171418284816201824753456884531697628394807050218321643308317j                 0.2519209603164564831749725584644304664739379892722484513402697585545325124156908350929000048512746467+0.2964963767555358957174090482359688939180795491240259556063431979786462566751682884383150839501705837j
0.6364816609485278796980445367528337649215529661277774573411009696324175067686745821891305796293668443-0.3246800516377508484315752580273659832819784976916251220952433976050079242467772562631056646780112716j                 0.299691768792304242357848115328696566630195713716492697356955517399447582444071953294295409375215247-0.4133057970864989192726896829515974386776371629225895071779523017042139105013331650451980057761188825j
0.6430860014606553027944742419293990209096488838923390563996441160595328059184078588752017046464892858-0.1322338339606723282406326212871716179108819673523263093189104622190364423346656070489311114590992724j                 0.3960738184307152958758111203098782511481911867508055144025487393767478342461818173742731770507684233-0.1700754550791619513249110812315391696719202723644897731570399110390921563493753018498623208357843949j
0.643343261311753407130532642484594707817222293277034072583550455854173140697622874631686558300849311+0.3150250835567478241880343540104221457230655314269664876846071305926728199280714206880727540642803044j                  0.3146497486053070798798472329273885946932104730458686452133657198725957855455644229093081241211107149+0.4053385293008115337963631342502853369043625586348104294098296515865607557249992619955008914190514302j
0.6637298547128897204841866891325372039527813581045945660991705863501986296037624716144411670675567957+0.1217191063064668802804101588696338830169467010810954455739720199481856108783898723263630733980862385j                 0.4257217791971487112317487781347195701065207442327082069739588027580022659941786104613926499588492719+0.1615772094891480827535085867314670998372831834486149546695104570147311450669943696074403080788134057j
0.7131154893171597316624539527651998856653165914836268522495979738335152621258921248002686046887818104-0.2363321995712336619159817989281859719043398127916592323045368337540308358540649686878143151340435823j                 0.4526807925498747391185886022451863713511134614754060378193858486458273527678648570480057617178266307-0.3370643042772818802993720415616971282581558270621845083579726977827685625501012137746362540981030228j
0.756404032563169646117372544294027028434523512586546835356137549180436619789961122845743175500363265+0.2385991800022205853441667815011496894249470723618006622734329992376442650003864437035609033615581261j                  0.5152174917800925466790661711100702018923095025554958617738463469591228810889789340697209160348925049+0.3609547638398904709469474005868979917070408454332032287993320196660720086869144678360909880105787109j
0.7939365158908408262415789934819313543959416956903604132136061830959960426883177460846817346711846655-0.06229221958689574150495578138141335084140354124832303205150186187812374075402072740923308265218400559j                0.626454870643825310341082124428377604023022244974829558313395198143282206242383538306690485396961959-0.09891213557185439408799504229355243180677506069171033824846885253047000141278255657718193629987164303j
0.8211702907804962668306060779381920586597303682615928526134257590962245277900668018485478505888036847-0.1415641470198841465769278670568649582683201249462380403194780046042949928405750256617693629751754386j                 0.6542802387390574186652198642830864623200587922381077774702728080876628512465141392427795397691466701-0.2324965435448223773541140179778153935380214400446727995885975369912628617492808563508511277115361353j
0.8477141737622370266150120764697742810968949949229279844548690206102811007021156656514065667107079031+0.04750674719193240014245439304052488677292291391682453120466268093370360127247284673771810038422891086j                0.7163624293686340138886744524791967768163327327141384264927442313327861324220224367843426643801962258+0.08054428588788089716479087020205377328217464848239336698267560203508414602636152878808531389648285398j
0.8563195909904143136362110198022252237963509043959823210465507305370505435994589308745097048988390378+0.1828793936244790159302169279904880512802675295677020825723416158119620633992187071598582441597424628j                 0.6998383693015333228080189262809112821588321976543446765231969251572978612594558864630008122105420962+0.3132064150981777079995233569039169343922130636454840417508993306523678986759392933534426814026850428j
1.112788099483813491968209077202392563780551343014721688011260776669446272508439035776871628668279065-0.0704487921450438309169024408127975481263324984060983193721904321437137964140215277974069814936912864j                  1.233334322038102003858452018358384472701469900613550128772527045489798174589684530951722384989835991-0.156789155044027066020666976594458697122999551812158841865962020789257935097286263824504173744589589j
19110949744625316523846778780483082290882425372333966981451965903686305299627648966866955290.51817075-19110949744625316523846778780483082290882425372333966981451965903686305299627648966866131982.78109747j                   31468385575137452337777615145875315209169766690068174671074672381521399991114572216538085082742990.82-7.304568002831889017180963088303828129235631965340024473413938667723879286630289825236733267583994128e+182j
complete
