Npts=30, Emin=0(0.000735), Emax=1189(0.4376925), step=41

k                                                                                                                                                                                                                                  E (rydbergs)
-0.0000000000000000001149600682709886283234108386864811018511590507860035528762383037828298315467948231120389416176028984-1186112207291536260277131804874919701828467822010604334179877312.760746174092083993890878901946188228j   -1.406862168286000283280663864476544272884461560202966076565569421496053425533186141509834585386623526e+126+272711080654576048795022644109126830438352152.8685806305399664746743238118689510093486166349238547921j
-1.996279345741285903802079095665337365426445928098528671174237369379914850474442461807728838835706926e-80-1.723213123011256026718611836822696621867841911020902007097281127554006659125386857645070912761606531j                  -2.969463467318206194908827789249500989655638938674636482582554854018997602934454610915998559090859806+6.880029531555416411960270326390935967715993228758346771052754848792109698813693734756831773997865194e-80j
-4.722169340024377115200728479681315667630741274438754842859608581217189207757450795195634536883002887e-82-0.8713482543611079019446514863019695945835603301652047468937670957372029086954952735557190590398753699j                 -0.7592477803781499958605494713023202786853817170905305039739811736539965741045674903837022220792571323+8.229308022455571959542548029649155635284745858437315708643387128054116511727882887158995853150976503e-82j
-8.273615104204770610941201685047957330467649239437565778701768289444267224978454196959199109290763928e-83+0.003582491418063168778551059297044680078553077090386633315889655657080723236875764477303256263449869884j               -0.00001283424476049625393809341510752699105704729832039070904241091038778139528596310248597482975950167351-5.928031021434280117737936496779248720962375403892053995652591505088667390120880260940472787560921976e-85j
-3.164278414743183494058590593568298602011505281579307629123986058474455908734313714028011540841353862e-85-0.3055108734832457711262286770741842477365469702251141336805524080822045356221506795362365547979927409j                 -0.09333689381649580405419110797252162034366353866086322991661962462979083199620783542101904521206435545+1.93344292486474044531936095631777116527488866006966519335290862652872761943891688210256824440150605e-85j
1.440894583151593904248613175072988202249191061694162997556677168839791448981421920727924837339526012e-85-0.4343172997319271206592696958271378286736098915939180545996320037375664291024186168579726676769276676j                  -0.1886315168464326217548795371649572852751965507977708382671737821358431929327607984742046410760718537-1.251610889105521990915614163986158875916760928545552991566606963514045043929138595572694884716904659e-85j
8.273615104204770610248012170176159495229638886430213187439294401440887847555954610176557424365787095e-83-0.003582491418063168778550975773586771383929164047299785291798589257595417516366991744031723319384990613j                -0.0000128342447604962539380928166633846613394621629923871431880946694061834917118405116511226125248472264-5.92803102143428011724112919096674955352781951585896102221345135669967548450092758593242018104565919e-85j
1.419234924493821376361025402405551258470799286509757009807427610154468895914838226462367110804327951e-79+0.6703313294343776138187109277585281944422991851298555498846212342318257159789955755200184798008783917j                  -0.4493440912212600875065744339292315580727710713887477612318184442977601924949584948047476885981505887+1.902715267431283630908999692497982044352686688554396134413209893644273093217585748114917833257803848e-79j
0.0000000000000000001149600682709886283234108386864811018511590507860035528762383037828298315467948231120389416176028984+1186112207291536260277131804874919701828467822010604334179877312.760746174092083993890878901946188228j    -1.406862168286000283280663864476544272884461560202966076565569421496053425533186141509834585386623526e+126+272711080654576048795022644109126830438352152.8685806305399664746743238118689510093486166349238547921j
0.00005024839495312005371984029430910731874943383904826915426220356631027054714342617563028123983076695896-3.745071417039124074636805694324078814127717727688829550596313904106018576783001283442726103365787674e-34j              0.000000002524901195364740885669238253951213126644259012178818258023028270614881166888417112639992520772271337-3.763676553820457802204079431426334853987053455683730830918988405802477701352572128244891058067833647e-38j
0.02099452075474047714401624724572462455262186642562351149970592980269122172586991956909141025664817365+0.009935178733334797139770133991090832576772415318220042910114490296627943907806457378262850306391233917j                  0.0003420621252579206299174327892294420288306332042081835951323751173322774247097038615911737232705094493+0.0004171686322381072059100692486747844956548483728499826723313334776354165686682487568543811513925238738j
0.02099452075474048685392851383664914469855454109783067245151805602498621833926473149234195932041075311-0.009935178733334825535119206625961421399287511935396265506332595178528116508953784293857800599164850755j                  0.0003420621252579204734016055404135171543689563284450093006560985941781258436222695491747251321312180161-0.0004171686322381085911429878429040990951978734424208360315758953601682231538128266774384816989471134208j
0.02446459916987760705048609947967326822946078942554104917526889690424864970527501713221178665701416715+0.000000000000000007259522110905566098311256202376345243379345887674512372136467945084724527212821251118019714734570933j   0.0005985166125427760999978317348879421511356438102835949791206888431444473714762771099602159415036780966+0.0000000000000000003552025972163368919878211748098183294018543260208779246376476873494862390274454379306310934951449209j
0.03808298257026376053530961808339848856978840781314776621952570363202777047673631884001493791068804666+0.4854065731288666031323294075331812734288910209913980483141180279359778824625946009759089049017539057j                    -0.2341692276752627080371989981588022732054833985479280455442657558259685283302453316435647817793075873+0.03697146012791617661702977072522314594737322735268724952407101563364902023487604398763765759970240332j
0.08114530639019563082340180913631681135777742625494960873417713823008202561748665601763743211770177266-0.3741174576307465857465460986497374896077531881440380704009567466891896768951036748205152586518018437j                    -0.1333793113549347428613932275108343540160516663761119750506600200907886755368770802015572915251436784-0.06071575145073592818227036891279560464470173174581289106308885278931654045237865396626350389187275655j
