Npts=16, Emin=0(0.000735), Emax=1185(0.4362225), step=79

k                                                                                                                                                                                                                                   E (rydbergs)
0.2768451703825398659161811909652471078383076275477403047302770791839327008661006360491453331419661593-0.001179285471016271385765297780884569176553928672282513598271205032452693494561012957852683986573725577j                    0.07664185764991537849996287177378651722611562716672649293006052791367081377223375330710465760664059703-0.0006529589743063068610355889605746623132636139257384324730149668290792465526647983493410705437892401096j
0.3126883079927198983814916206451763725743970755919712687257334575930279191463005883980726417408950556+0.2828609143316458611312631038627102363690981520367858887960419357933593297792259511763206438109653604j                      0.01776368109881535976793281835934859776195291241019188966040588486430738130394917147384298611714254917+0.1768946013992720779441981015566033456008107954655288336423661391117791620788184100027549817804863927j
0.3147192073851662505923696716849372337162465429088177632745906888776742648406116201158500503674535634+0.3586586763948144389282875127743263298822638815993788793961747884914634107829826872963491053392316973j                      -0.02958786665613294097174259050175269616952835768364027426116550592874818986432681949522665325283883334+0.2257535487135776735221465903183024993381495637485517955669990017939368789180251817730763425755431472j
0.3417740520123648679511847343033819520835178042221384734308740956870133439628584955176761631111784511-0.3161856552317450836323652080007386634145179828165834916160435032815439736298032633245787321728369437j                      0.01683613405462271886803145087664919532358269714279647522898705842543043549400652543289660743977148695-0.2161281051534762202782233721628030434325449154845786744857089934679446608401099807209901435537572192j
0.3502216169505871107852857351673095651381870047211346458890789350571450238408753356837079819185865533-0.246305551889898336687951857330763806062303592382258253410047910289518175982024355464004774958234443j                       0.06198875608769636298386540937256580854756061351009253551688637463482420616669542414879256542300912949-0.1725230572935738649839206433244748074634588526000504851279728159121142695323392249158207819080654291j
0.3776622001042359864584454246266694129398374758341490140804920552111544659520529206897234944567568465+0.3313762933061921729083828490394389759997021264049543980291359049156202495592090253372394488103459003j                      0.03281848962222048043925503513255669899558453382152064421452519651511000011540802062664490700220999967+0.2502965999848062889301487035101184081994910226856258433324030864462221179397833816689219184596899913j
0.465777175033655628774727775774616143300271921529753104603540231742657100554745632530863845452046333-0.2542333310105056015534872655193702864291309287776052783347164553472567607078688634990972991088851317j                       0.1523137901856353632339014789147480321880631967544224263123397109416925930406169506002755377681715848-0.2368321654349391540478219472228566759705351998936376569777847273757970134476230849105831081904530136j
0.4855154277095389664393901627337609334003598563675094109456331555293831937411714254542661995233063912+0.3574058447309455301804866254266278331892241130044918599005836673249237149895750413040918431466721594j                      0.1079862926961358132327139563809766476749181534237998517596376467809537192682684469973134551992590632+0.3470521031408681857382252059534199846693846501916344956788319653477480111145751285989538617279945751j
0.4931300384611501667102502523763267569027677444106415338046762176494799159582026536152210088728815894+0.2862899359203420909536947729821272881943822394558250796858425425044141775652784310557829321323427172j                      0.161215307423421862038899266629781870853763858508273075466289524280612197419786788333384711610898259+0.2823563342228770239242551538027732619340902903042385209673532973704233493615056270118719633512851914j
0.520924850325044676146992748589463972576419705327404526926553747638115999086017620649266595565983766+0.2662561112879476126060105390727727204008262240315533934342035429262499595660945473701919260049438401j                       0.2004703828879902543446598821890507191358288383883725518153607957030114783277212203627587025127397102+0.2773988498416050967407854824727102074478538501483447270450785529962898809513927599224132668035668518j
