Npts=18, Emin=0(0.000735), Emax=1190(0.43806), step=70

k                                                                                                                                                                                                                        E (rydbergs)
0.3470584293942129528532822519514799541375334993910723249914676922892078604709135450583794096448071372-0.3191329013462348501663600554385009466149256810172632262529775722648174911650333510930700503952581294j           0.01860374469191223193116605823408870372792828897869394187164945119715816134846824691785180723561529199-0.2215155270184851511122435291814445897155541160179566599527951624977762552892900690692002280529911541j
0.354398187895717178541252819564674523463525041481978117954577305792061110982851501271235990366142439-0.2427948673279837715132435886874176014720579107598344783219695915712458525881993698174862791823090925j            0.06664872798295481660885378577464004243640806962545839657830882666253249180614315802047329729142094868-0.1720921220228370330340704101738722689697725654438232776188020014772149376006172104525353630810825332j
0.374567422990255827483495835812148490979702770809676895404545073939824281517086677944824634294608749+0.3725102843414521370421035239994595284159796358460975545650324551709627924195749169780243867836192179j            0.0015368424254117086220348001453081247701634258354155526288750358340422559873416867847299258911234275+0.2790604344862903491498168601308594706876900147819347735566291012328026589356479247790496238246041711j
0.4270161059803214632805926081284868630720007327362467476164688091522139946189821927946498074109511767+0.3779476028107826739612050445597746898538594774553805889179629497300008422785734449360950588363675533j           0.03949836429617999236604940695921618095553681358220852305250035173924457322553416851061646407014795542+0.3227794272337152329345147719111078103270495503086668497171579333474198767812518629266712483487000361j
0.4618483743493941395560101629131473282808789103005410838893092073486074213799876736428652730555430507-0.2530445931412396879912100217310879334976516052132003699269252211329700082361286814942495435541804692j           0.1492723547711625788539069115771261395977912096113382076263233349637443676832161962612625868736106762-0.2337364679603708002657835729281537088229649215566315447798618767043547635332587428273242872674954732j
0.5039868599118196068226529161090439938472070477849467036335248967958230037191427005312373495484284231+0.2925071680037403153369532169554221128554630060021219695445683080887153992509865444216800413165106027j           0.1684423116302077189724503294211324638543488631015705524781118923230369593658565328883530194537131735+0.294839538207808305400637508082480384697323471114053658107431921340318009053756524470322105363977092j
0.5099389047907044777225248845908851282562688289976278785802750707825703216069685667412599211328527596+0.3437957952644925335061156132596678000253834583915863642429276777887859050203084803513799800490182881j           0.1418421377775982994140924730869319970564825802049197588000619633193234617048442868601592346384361229+0.3506297026176491747802050715911800546045060262166440821637276322205018725913187924007070354954863711j
0.5272020481027563255610273426994050084072697142146392884542873720269629940809325786849665279735647194-0.4864281766549147885160787550008784116990714784131259575514495003762141327100352774590272935520544338j           0.04132962847991600611649833940113568935004564753922561095168583392125170840294335747546777724824563922-0.5128918619747208757071458895692827894834692481004699980450145339628534327500791349969160205185811728j
0.544662434988789498977115897744600416097802335094729617528824738856172683735236647297476952849110928+0.356911553107227208739240402675690815331123405202710042378776511803521696999787393254444003852890326j             0.1692713113465042792292849810060932650894132249626562413541316150350648773119135028514972173840388441+0.3887926311820260605579604671269690899530234972711560449313225559400594158259771775498398159019148973j
0.5805104412191800269354788374981278257221163010839470488296892288014475601875445775838514085199280042-0.4721846323756520894249177659015972573801608925291728952407548767837380506382606709243918176420003056j           0.1140340453127573578860670150775261579089610993828853180208785297166982606073502345706704668991307051-0.5482162185546122250744900927572693109216883071503392021361993558095175498866205843033280736827454946j
0.5811058222191125919085081188519591466084447505683346521057190669815204704566581457894654546879932961-0.2818647813388292073011634157443851015279838367718973672281600721141664227215253138980706250132151838j           0.2582362216577648879716013601628063609558441286041610162051411877397990308771969461991080302187120741-0.3275865310290214596664534540909224033263031309677659889530735123293100155021164565035637312885743119j
0.5951061691767944991277856100951477287951832551193201046940405872255752849391575856945369066295696817-0.206169879397578025707100144760940755399628651221310836985545744649875253252824003419983442518330879j            0.3116453334214676871194252275782999050970475860450801895662989834930967947981727600317952726142914612-0.2453859342558687746409333118767746018518218665111107831463365645448472103050670358399916837209976556j
0.6367228589492916215701856664695847661514650596421160549564937644284824631181153242260573750937308936+0.3105821486852318037040681913597880076809261116547561402094175681337862385527562462734010455224222186j           0.3089547280266240782102103778441235148704014260253173869927333874810178859980333716405918479242827049+0.3955095072989495360062109843402567804315121887996887909952721892761664407397827273856234698618144581j
0.6582450764425026197335228200084455903440669992663668552843539896670156937025204336717448434202939221-0.000000002694439032661004958804724119462245107063079806939005370915079649230964595892927044471709494024055443j   0.4332865806607961100491905245522457288189227528217640090016991668735237658351432592872866229415614809-0.000000003547202454047212044019092496391729463514443021563635694689038238675993446276951644242956895635597997j
0.6692240928736955659948048456785893467108445693372852649169451957209921215917621168207743597823804798+0.2491894353279489657975026546894787868989502808640597773333425381095697002182563146000641845388178305j           0.3857655118035586483385640951380963434762847647704666016297301009375533193873889249690901569764909108+0.3335271476221101471939019193438516636163352731720893740645400190954325538687953325267078258385185513j
0.6868530283126292309598285703221127876784438970352653446359127531557699453340312280434430337195196248+0.3275561119736304863151958556771533557760434015766533404856850504110458813633470664064270863581724852j           0.3644740760109478987050313625636260078809832756174136195898594851342402720323162728622629480943099727+0.4499658149027975421224248595641372604638678428506320286373453180832141102866302256015143864706828205j
0.7175302124471331950008909795593288006149905129005163729244621845103912545860645843501778361123645133-0.2061855196904178074610110069907540654040757983877154112047575260624691105318745272405348126517917453j           0.4723371372444204272093233812344183433752793401888817960484659326947641340611785599699072840015515021-0.2958886794939761078763400835976393685509705607668711771831730530171069186181637861519198047355971254j
0.7947038184852089723178482725436983816606722348127423344683772244575706495503296526378568537137443098+0.2258390215634479996533096568347984956836807494468632839474593622996378947672264014196959060391731255j           0.5805508954542364393234311773559560615754981170516336443829377900683226163236297584342837537601113254+0.3589502655988711482620336803740477807250007491512836455993666150372890210812985140179938479661429243j
0.855730159612416520004006815549486903816128976892254438852743863698597400268911203672164400223809993-0.2660894405017686800282756223664717968058099235529867187902303256652754479946843084124551552115732937j            0.6614705157237475590412669624887003274136918088226925633544110310472425832946127561603459366585477259-0.4554015187835142430074456459983033645466213530424894425120025200472572828601973832633707933829373176j
0.9185628206411035647057470289412402842831449548636162217843375260995766736164045848956476425316483795-0.191511174799090535362664251481754094850311824261230362492968842404455221850697732897764651226836153j            0.8070811253912123872696103260557972480452487233963011098379998471903801402006939113836879830249299891-0.3518300898154880648854419327148919582380379547775888666034376172469544110954544516817581524482113946j
0.9524719241316085291024523188258977779568728844863902743578613288134687033180694902265775808982615839+0.1736877304609859872972159127383633229034795878369516452179145334255164759550178317547280981865021655j           0.8770353385462805142719336965020418643522796810188221614716232758174274667731723132125636944823154606+0.3308653736604550339742647373289196569160354902124350678997835522403766638974210590908971392728214046j
0.9879150776597746443040956646763006131705095211442522151335674327544643216470679464710474251893334217+0.06594407338601792036279957605630257851852647053323143072377874446996663237065519566208392216797135547j          0.9716275798527780495075240229378309402912327895410434929150142265648470711685015342605281310588949631+0.1302942887606995441616363318559996488057524745743522429696060374705495924148032997917663092171638955j
0.9945044192485894172700599580009347965209395886195451825818407397893404779104607262633782570387020562-0.1068440950852157668713444529736305974984826225128838166257060265857477054036678259162096910538470263j           0.977623379250395481055754501686489539756498354375245555879538019552610062187297125165989794043685487-0.2125138494657271461160130551810600103346634663220021680852000378920098804368985058452426448556368476j
0.9950181984216095061057897720796463896358698857749498455510989980475582286697021791016913691909405363-0.06919644988256789970442733439807957644016815256118103038654264432461564128635969583019916587490824057j          0.9852730665138347351270653085753594845391220431526516313869721786245301437182835516943476176494159412-0.1377034537986478084716150115247184831431733771764337182626873221886176035895080779535239100344236083j
10391416492182505592393238.25474411088110136825322637493728518854689293824684848244623901684435125041-5.055130137082187428794343328806902346930494275800423916610920724156277142441080949532978799503689886e-60j         107981536714002569309387959790521308924619696235415.8573593788271841049738260548734500456164577023595-1.050599253532093054546034225304637011723766840526974904348316797087407343565014673494117206030310241e-34j
complete
