Npts=38, Emin=0(0.000735), Emax=1184(0.435855), step=32

k                                                                                                                                                                                                                                           E (Ry)
1.443197376530060699792555245559359303238700419793289289697233291632862164957239367699925295502979333e-78-0.5981700093919475727835699011920601195605117180961170219366676726119885260983418682554219246677003309j                           -0.3578073601359626474325752255072992500351022700499989725015062075059664270283051786932300380772837291-1.72655477654684101268806434278770428674321072097221665710685764895439143629655061906829803789505591e-78j
0.00004675085123909798875372347828923707474252309478910714248854095920370542087292169696289132403772713137-2.102806201643854841197075050849330706653972609848550145193026977255988262822170206441480180387442134e-34j                       0.000000002185642091580269950417852283479393672662736113400660864871663540349632724075408582404609645862791629-1.96615959835409092596671013807079484415358137673554357284464572450997428060010766990179076184212473e-38j
0.00442597556716303328268812455944219285220254334434246756790016915730255677334003952238747971830747561-0.004642297686655294418364165847227869030718934191619344582627431110261331430800200008702177922374188798j                           -0.000001961668090400963979873310196999926889321242748412082332688369167557246405249927543454661197476413655-0.0000410933922732676081558843469005955591043824437400070325458837730965185142768243273775421924446203487j
0.004425975567163033282730988789488895271883973289696957414605974865429927378922226501330128220498175708+0.00464229768665529441835064666274858688990948549326195335429122686241978977546978434634302876622480304j                           -0.000001961668090400963979368357969548730653489306958452937141259165796544315497112709432399493851860182898+0.00004109339227326760815616265277218114821551685976736305660957162411654536750077502490155762264540029068j
0.02014849281528418904999350414657962637625840141450240830518334707764758091799442213186919008814817184+0.000000000000000004310088370828416180542122628067889773101640140152302202131973964588234840003050042714197458028354048j            0.0004059617627275585862888723516041822512722645163507432802396478199402452974362801431715835201103321973+0.0000000000000000001736835691457525578619529563630838607867624124189090696328957041499967971985485282301133605401253793j
0.02786311291009854564829920259119100836636233429490625971677760550022911067802558210877578747664873099-0.000000000000000008176531324796898121531363179338369806549455117730428110773055392836348329218001707007308857102044875j            0.0007763530610409002451507093737673711294434652641554432027113748062425260604384413039729730777545812361-0.0000000000000000004556472310315472335164722450504630966192773811271635096781873857983876442263193846596037402286795155j
0.06163688104626870439838660119523799096499491966802794952367188440684644245500920300109350377060234297+0.4013330643822408622312001482140126315053132228887277761405560525936419933762746024356396027188071034j                             -0.1572691234613280107404110844527830029757921383711488296068383339146006436778157046998276204005177345+0.04947383669852535891976487760088040277694178029105311428115026206753000395514089380223232372785250367j
0.07781482480745705924627312478993733561008985383680245645392983236771395774434687689878007816234523749-0.3748436898145593383315312087711233461100486071207887608717563658167510533915283853505548864920134977j                             -0.1344526448339783416850879080423385428046816459548392546715071029883770592854410217685520166436881542-0.058336792106201422009021640339235821595075793019908688377192781239755953250748240068813088979943414j
0.09387059085788679418125248722653301791815113649260970182339596400801399819152280508157180622794237861-0.00000000000004628607213318392634518921124695464341420198886190404877537776380644468574406975554140021398067355966j                0.008811687828008779781975225318030428950054401012954979787563649351370001033496288189710849088237009928-0.000000000000008689801879265487564237640408158166653934343566970898185242087795514688833674531281229206113187764025j
0.1225292567981013714694896286743947482325172277227938833114569963191687431442346535408749438311931086+0.4148663807212639775225305411663123032239282277835988170134402827295015964901722476364654550931281193j                              -0.1571006950812656801241307724339793847466117578349163826447339089185936437277652187183658649896578355+0.101666538600589291951321205588693463890771599678400942041664924896172916511932311274433218662159895j
0.1528076472018397620473308883082444271534274996009924404499566852175492774365294743320010932303049432+0.4375044607192090757788192129940522490178187012101302969943150248987965186597599423514274333178132614j                              -0.16805997610584402990896009223087050428920674905066583658547324118696237430124053143437093998095739+0.1337080545656241256340340796482187596899007600667550513581854451641687149320203284878927604354829556j
0.1618854266047744280211534691923119856102514110944969543561892591485562097543759554120705432716634928-0.377920072370400516848275368284300982902830381946229862850530163206549143523256069908812153508247029j                               -0.116616689753438955935497781865664670928095677115605268457016864429090938307580628509746816854084531-0.1223595042763790261322502653517492714806529761871196081295193126479008051446791360798309808004658219j
0.1666732999861656492541073318185897957070062966665560207259409420458483828610073990889059287622821334-0.285295079908680774954210558951748877516598625411012742364180702651584554389975691838008312682807438j                               -0.05361329369182218256254559201157225562544004332299702436911587480635510216316490419056761562582224544-0.09510214487639330241328291300846041003965947235635540686475244033137341782903815292805866772950161447j
0.2437930373345544554336985839007969119375657071397565184115814013253567264484788962677858973916528103+0.3821464042921614719925725433446605721328815578944821728208963097806887979519685484530507019832140679j                              -0.08660082926062066532792320653937130744963980649959019779049601095411759648394300144714076272396912272+0.186329265217729325470739596407147318411732030517589800815685080608949807757407304509855019961266646j
