Npts=34, Emin=0(0.000735), Emax=1188(0.437325), step=36

k                                                                                                                                                                                                                                 E (Ry)
-0.2343208075441850759892853622202798115759984526436886226266758532471944101006420018719536851547330155+0.00000000000001488185372783978446660588225377627011472090363873046821893299551679759367923772197269260296737832237j      0.05490624084815902162246873556548126810294870826051605597849199231204516469279306157547892447396301941-0.000000000000006974255966523718729334155268501588059124176646085502412087145196885412344780038827016843854674684118j
-0.2019737391017562371048108232803995464419868766758462247496795527783275276099333555258342364935731421+0.4405104674528846313612028278620783433628323577304879478407500605237554044285007696724766866428027454j                   -0.153256080648814633761584410568710502629769798178727177860372267633264314037893925316001564021646203-0.1779430924498432058098911486409920281813533669510716798072037537823931417623244054503916016284539974j
-0.1667061049854832733100764525022106742877281741905719780753016059629629519422100649698783114989267093-0.2852827958730873651934770065050955282136818501880391813713351129621673616413454977514143671216711118j                   -0.05359534818173466233288587897698952321847489625147871286507725616183274604224509287993172319272222976+0.09511676743874219319818052907620073608108395780393790325947398423868563594065525840381644760718528858j
-0.1497012271245409120142622800931016913055610678322797463780913598526175125951914851496143098203648275+0.5392845007687232960765761066635603706583141517148965766614602760676929091802341264982515304007921602j                   -0.2684173153667777336209734722939907220563229995904419564272213097337385111832004248598788596664583529-0.1614631030686466084140813121905454396900476571253721989351007972711802565880098140448579370482770629j
-0.1484570318517451515208617760602154510725480193288910081173704754852298724605759146870505891322519871-0.3713666654738496277862821780157187214325432897453145972346068803816758464074666522004045843835092945j                   -0.115873709918936062737165009340597009824684476200051212651286113073414798517885487884930077388832629+0.1102639857698553612708555867896339842362329001626036756350312845813844011975547007303112067337294576j
-0.1068060839448565156754380639346203109546538032488684040972323723691550522892113610669418119332255937+0.3838935067263919205591227220742616851239954227908376799106976124919474623630762899180070472461021463j                   -0.1359666849390505819892783133260246140042953949677571019558596279603332994146705832524167420323868511-0.08200432421060870982738216677009074154574082802597671463011447927463075319727651280154720343656338783j
-0.08011375713855155883705943972274811051012613496422045495299033028307903133991249126840155153503406287-0.3752500621040609090426963606242669499660595224752444697515513496229547817630839587367552205074614494j                  -0.1343943950262467482984417131804654658352675335976857594831423632330799715686181745724382640052609927+0.06012538468326225087693336535070083503552208238006587525688161004814060960956974939519861175205127347j
-0.02825159856839877763842256436432185427909348604538347085087689953855797805182445570755749126382783045-0.00000000000000001485910494266304170855013466505444182859567588151701731991749771414606698728899521238110165921809152j  0.0007981528216699518621413777059526113417673803738441352368057104717232405449751821627075997851920298391+0.0000000000000000008395869358516527800358149585927569334165589184880141135706827357889797484642003364796933591217658581j
-0.02388801274187989284019878642139476980676708431460390367445171797537359641809893642958264079763572528+0.00000000000000000740345301526346554192319979858153657565700911482561198434195949726822805736131122384685917985549478j  0.0005706371527562161158365407854242103882508677001277881584956530060471521408939226323484173949979846882-0.000000000000000000353707559925045555276308612813595730365387929455284604298021186647385379747616444120556521686213984j
-0.00004890852694771166470039763479888771897982541119336345628997398982238628131931975105934032857815646695-3.016889934173323000210963570762161493007452097136786530793055819606404363102572121453186322774985756e-34j            0.000000002392044008195038085162759272998721914004187036568154050384246662186374411846023177384510230862614789+2.951032852875920763909777931372922901556112801506819037336471916057260530960218766336572862448716799e-38j
