9 poles, Ry

Npts    status    k                                                                                                                                                                                                                   E (Ry)

26      PRE       0.1667068032872015433648354369795449275149781169603522035387718922773989136698875763839418564673720515-0.2852877738644835763101176863951333907119512158204152828813578964916234639649816036745532357533437451j      -0.05359795565431500700399003479801180273780730400336710849177251029960257739195876997737729246538001783-0.09511882559574020241932820341976758123469557827578832548055656715072443985133719965039923190793420154j
28      PRE       0.166704443482956729084908007190215211504176243463925961748327310141524935905952905519512439587059392-0.2852816326431402184558028490393427706379361992779585498056280654730186172013372718462908455572559041j       -0.05359523844657329240179507362560161561804768337159470995677168555184109300792500796601430512817812731-0.09511543161136798411581250635275356193658829863109447108380559258891359820959367382501793583879101078j
30      PRE       0.1667065317744702207927471931886546013573064465896072891879217911253465664115071577917366956340356316-0.2852848857704826496798576014498674753102545196895207399291163925099155094197096354935356937611805488j      -0.0535963983128048844683404067819952636424425523691698360062132116124472249603481652612272732919987204-0.09511770774894614639063336193825258513891287024226649189161927773877063743894705306709934673317612211j
32      NEW       0.1667063629219549751609909631846137204647094562604870764600687616445682156409271014917076350833131172-0.2852840486881172539916888607952225121479735298743428320748374539029871671437821826704643679634606093j      -0.05359597699721749138451235657053235474824440301130058210249436456818987061254361671621937698416438656-0.09511733231289189612892901539915671767502709808300756197207068658520142239776280363208813197967876473j
34      REP       0.1667061049854832733100764525022106742877281741905719780753016059629629519422100649410624520633829516-0.2852827958730873651934770065050955282136818501880391813713351129621673616413454977510633240780243543j      -0.0535953481817346623328858789769895232184748962514787128650772561618327460422450928893389894874129122-0.09511676743874219319818052907620073608108395780393790325947398423868563594065525838725806767969247201j
36      REP       0.1667129910637514514503499877973729483818010819099773288730060605583192539358654065385213839011622051-0.2852900827585190237383767007820406872664769681349715991453627809898452899680037328429583848063514438j      -0.05359720993094016222929146391196235660961088147311298277080313312519243982637312684053148776599018674-0.09512312603499578807614167387104312406083380974140758807242639990597562646607769273493650037334311928j
38      LOST      0.1666732999861656492541073318185897957070062966665560207259409420458483828610073990889059287622821334-0.285295079908680774954210558951748877516598625411012742364180702651584554389975691838008312682807438j       -0.05361329369182218256254559201157225562544004332299702436911587480635510216316490419056761562582224544-0.09510214487639330241328291300846041003965947235635540686475244033137341782903815292805866772950161447j
40      LOST      0.1667044963456462474975861993420091039192048372129452180053080559274607976860412520318559285082499909-0.2852776688165946269051422880035709451557732172485783087990190147221056012523644270437784758047077203j      -0.05359295922357506331026081738514179036735693467596318549397865913181757780838903194474790169410481129-0.09511414019746095887168976004729501173508066618482500788388030492594101108481246922061960621832911057j

26      PRE       0.3602041974219679598696335310467038151839618779063182080922383011872986816578660071143682012760048843-0.2479197118316579706125045951942437109103205570644307070833584180343698814297237398246534085744137374j      0.06828288032571174032534385608967835236419147589635456983715387121665421762084358562808756457801173697-0.1786034416508158669923979514648783075857636542904052707506217067298918468531315319795372080496074552j
28      PRE       0.360204293134975765416309258670959558548818860420268472778448870051379128528629207342410008367251304-0.2479212304507405696717181361189357223678180216998258759242008313350652663816949729926780163005920859j       0.06828219628465833623505633743975982896636526000697437551475676063307528627450813393652546321261441964-0.1786045831353248721361207603634297830472216359477116505071157706210320722826009418193982327862716872j
30      PRE       0.3602042542979358773357651107418840453586924299982327365078950080785295451348339786744895166954332741-0.2479205822498709341112994176222067627857546632827069926094443474079126667140981066992134613003035209j      0.06828248971121703807794585297187708441778707414957675770340145107211961063852766047414282763304292687-0.1786040969088496752001055426816418691735180669634637158709030920486367785375621105777748746269510519j
32      NEW       0.360204350942724274276391269044993540244427591018667476127003370346140823275871772081252232313225217-0.2479220197332553208563769650428888609876737901006927574890131634493154147865052749051469628210123134j       0.06828184656945262906255259417276344297600339627516174744396316169120029299402071140706307721244724627-0.178605180404853024726565971434967811879060733352334455956420880030789949744832987259814508391281799j
34      REP       0.3602036562024683360347673256669062753968259189309425503324248922124796302883199604356556432151161042-0.2479206423664029720559361418524701705445788407670326568355831174188763927101528348053879928372462488j      0.0682820290302561215090302603962539491940959525498473492054759094281934097848305069599312903634823445-0.1786038436568858440648205691362311820584627606782118445519383855882068372353128996820625528139930518j
36      REP       0.3602039609701287079688615549980279614721352614433324420172002178516224755935092656428320242946317763-0.247917959541649087148601638961815822931383015790668422859752359938093944147805965697968968757549258j       0.06828357883527525192771205794957762431623378958167389822728153262630392990116563318311053025908333808-0.1786020620450682317874558803463997822916182675154417618960887301839550584335232042877729400279798464j
38      REP       0.3602135552032076895114752234229924267908221875354593857841730604770798697385439327844929599568419106-0.2479099902898813035845815037788976286938840087930014965007733417046052187882560847880217045824583978j      0.06829444206660531129611047244390360703845836134972867704885822698255285790053557772833765241284666355-0.1786010779454216824517107682429635900816182007093052948916691429791024442552399578910320988443468579j
40      REP       0.3602030646328335079761808829688098432567991892369223562901809264456240702838276652131968061898553206-0.2479217827404745287768654834034385661908925367725958997885326161074466815868007174319556551285723438j      0.06828103741367017960201176513795561976889568848173768492481550394511633332764017383235101160879310309-0.1786043718647089071094923822211875801677098077954423832728635152917037796678500986683899378125034383j
